PHONE_TYPE,RAM_STORAGE,NAIRA_PRICE,CITY,STATE,PHONE_CONDITION
Apple iPhone 7 Plus 128 GB Rose Gold,NA,85000,Wuse 2,Abuja (FCT) State,Used
New Apple iPhone 13 Pro Max 128 GB Gold,NA,770000,Ikeja,Lagos State,Brand New
Apple iPhone 13 Pro Max 128 GB Gray,NA,630000,Akure,Ondo State,Used
Apple iPhone X 64 GB White,NA,160000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Purple,NA,220000,Port-Harcourt,Rivers State,Used
Apple iPhone 8 Plus 64 GB White,NA,120000,Eleme,Rivers State,Used
Apple iPhone 11 64 GB Red,NA,275000,Port-Harcourt,Rivers State,Used
New Apple iPhone 12 64 GB Blue,NA,390000,Ibadan,Oyo State,Brand New
New Apple iPhone XR 64 GB Yellow,NA,175000,Akure,Ondo State,Brand New
Honor V9 Play Dual SIM 32 GB Black,NA,40000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro 512 GB Gold,NA,350000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Gold,NA,200000,Ikeja,Lagos State,Used
Apple iPhone 7 Plus 32 GB Silver,NA,110000,Port-Harcourt,Rivers State,Used
Apple iPhone XR 64 GB Blue,NA,150000,Ikeja,Lagos State,Used
Apple iPhone 8 Plus 64 GB Black,NA,120000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Red,NA,162000,Ibadan,Oyo State,Used
New Apple iPhone XR 64 GB White,NA,160000,Ibadan,Oyo State,Brand New
Apple iPhone X 64 GB Black,NA,140000,Ibadan,Oyo State,Used
New Google Pixel 7 Pro 256 GB White,6 GB,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,6 GB,380000,Ikeja,Lagos State,Brand New
Apple iPhone XR 128 GB White,6 GB,205000,Ikeja,Lagos State,Used
Apple iPhone 6s 32 GB Rose Gold,6 GB,53000,Akure,Ondo State,Used
Apple iPhone 6s Plus 64 GB Silver,6 GB,70000,Akure,Ondo State,Used
Apple iPhone 11 Pro Max 256 GB Black,6 GB,365000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone X 64 GB Silver,6 GB,160000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 13 Pro 512 GB Gray,6 GB,630000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Black,6 GB,160000,Eleme,Rivers State,Used
Apple iPhone 7 128 GB Black,6 GB,82500,Ibadan,Oyo State,Used
Apple iPhone 11 Pro Max 64 GB Gray,6 GB,330000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Black,6 GB,155000,Akure,Ondo State,Used
New Apple iPhone 7 32 GB Silver,6 GB,75000,Port-Harcourt,Rivers State,Brand New
Apple iPhone 11 64 GB Purple,6 GB,235000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Black,6 GB,220000,Eleme,Rivers State,Used
Apple iPhone 11 64 GB Red,6 GB,220000,Ikeja,Lagos State,Used
Apple iPhone 13 256 GB Blue,6 GB,470000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 8 Plus 64 GB Gold,6 GB,120000,Akure,Ondo State,Used
Apple iPhone 12 64 GB Blue,6 GB,280000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Red,6 GB,170000,Ibadan,Oyo State,Used
Apple iPhone XR 64 GB Yellow,6 GB,157000,Ibadan,Oyo State,Used
Apple iPhone X 64 GB Gray,6 GB,155000,Ibadan,Oyo State,Used
Apple iPhone 13 Pro 128 GB Black,6 GB,570000,Akure,Ondo State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 256 GB Purple,NA,580000,Ikeja,Lagos State,Brand New
New Apple iPhone 13 128 GB Black,NA,580000,Ikeja,Lagos State,Brand New
New Apple iPhone 13 128 GB Gray,NA,500000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro 64 GB Gold,NA,255000,Ikeja,Lagos State,Used
New Apple iPhone 14 Pro Max 128 GB Gold,NA,595000,Ibadan,Oyo State,Brand New
Apple iPhone 13 Pro 256 GB Blue,NA,590000,Isolo,Lagos State,Used
Apple iPhone XR 64 GB Black,NA,155000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,NA,205000,Ibadan,Oyo State,Used
Apple iPhone 7 128 GB Black,NA,70000,Port-Harcourt,Rivers State,Used
Apple iPhone 11 Pro Max 64 GB Gray,NA,330000,Ibadan,Oyo State,Used
New Apple iPhone 13 256 GB Green,NA,565999,Ibadan,Oyo State,Brand New
New Apple iPhone 13 Pro 128 GB Blue,NA,595000,Ibadan,Oyo State,Brand New
Apple iPhone XS 64 GB Gold,NA,160000,Akure,Ondo State,Used
Apple iPhone XS 64 GB Gold,NA,160000,Akure,Ondo State,Used
Apple iPhone SE (2020) 64 GB Black,NA,100000,Ibadan,Oyo State,Used
New Apple iPhone 13 Pro 512 GB Gray,NA,690000,Shomolu,Lagos State,Brand New
Apple iPhone 11 Pro 64 GB Green,NA,265000,Ikeja,Lagos State,Used
Apple iPhone 7 32 GB Rose Gold,NA,70000,Akure,Ondo State,Used
New Apple iPhone 13 256 GB Red,NA,540000,Ikeja,Lagos State,Brand New
Apple iPhone XR 64 GB Red,NA,160000,Akure,Ondo State,Used
Apple iPhone X 64 GB White,NA,140000,Eleme,Rivers State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 256 GB Purple,NA,580000,Ikeja,Lagos State,Brand New
Apple iPhone 7 32 GB Silver,NA,77000,Ikeja,Lagos State,Used
New Apple iPhone 13 Pro Max 512 GB Black,NA,850000,Ikeja,Lagos State,Brand New
New Samsung Galaxy S21 5G Exynos 128 GB Silver,NA,300000,Ikeja,Lagos State,Brand New
Apple iPhone XS Max 64 GB Gold,NA,227000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro 256 GB Gray,NA,310000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Purple,NA,220000,Akure,Ondo State,Used
Apple iPhone 11 64 GB White,NA,225000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Black,NA,215000,Akure,Ondo State,Used
New Apple iPhone 7 128 GB Rose Gold,NA,80000,Port-Harcourt,Rivers State,Brand New
Apple iPhone XS Max 64 GB Gold,NA,210000,Ikeja,Lagos State,Used
New Apple iPhone 6s 64 GB Rose Gold,NA,59000,Port-Harcourt,Rivers State,Brand New
Apple iPhone XS 64 GB Gold,NA,160000,Akure,Ondo State,Used
Apple iPhone 7 Plus 32 GB Black,NA,77000,Ido,Oyo State,Used
Apple iPhone XS 64 GB Black,NA,160000,Obio-Akpor,Rivers State,Used
Apple iPhone 11 Pro Max 64 GB Gray,NA,330000,Port-Harcourt,Rivers State,Used
Apple iPhone 8 Plus 64 GB Gold,NA,120000,Oyigbo,Rivers State,Used
Apple iPhone 7 32 GB Rose Gold,NA,60000,Akure,Ondo State,Used
New Apple iPhone 7 128 GB Red,NA,79000,Port-Harcourt,Rivers State,Brand New
Apple iPhone XS 64 GB Black,NA,160000,Ibadan,Oyo State,Used
Samsung Galaxy S20 128 GB Gray,NA,220000,Ikeja,Lagos State,Used
Apple iPhone XR 128 GB White,NA,205000,Ikeja,Lagos State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
New Apple iPhone 13 Pro Max 1 TB Silver,NA,800000,Agboyi/Ketu,Lagos State,Brand New
New Apple iPhone 7 Plus 128 GB Black,NA,130000,Ikeja,Lagos State,Brand New
New Apple iPhone 14 Pro 128 GB Gold,NA,880000,Ikeja,Lagos State,Brand New
Apple iPhone 12 Pro Max 128 GB Gray,NA,380000,Ikeja,Lagos State,Used
New Apple iPhone 11 64 GB Black,NA,230000,Ibadan,Oyo State,Brand New
Apple iPhone XS 64 GB Black,NA,160000,Port-Harcourt,Rivers State,Used
Apple iPhone XS 64 GB Gold,NA,200000,Port-Harcourt,Rivers State,Used
Apple iPhone 11 Pro Max 64 GB Gray,NA,330000,Eleme,Rivers State,Used
Apple iPhone 8 Plus 64 GB White,NA,120000,Eleme,Rivers State,Used
Apple iPhone 8 Plus 64 GB Gold,NA,120000,Oyigbo,Rivers State,Used
Apple iPhone 7 32 GB Rose Gold,NA,60000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Red,NA,160000,Akure,Ondo State,Used
New Apple iPhone 13 Pro Max 1 TB Blue,NA,850000,Ikeja,Lagos State,Brand New
Apple iPhone 13 Pro Max 128 GB Blue,NA,690000,Osogbo,Osun State,Used
New Apple iPhone 12 Pro 128 GB Black,NA,500000,Ikeja,Lagos State,Brand New
Apple iPhone XR 64 GB Yellow,NA,160000,Akure,Ondo State,Used
Apple iPhone XR 64 GB White,NA,175000,Port-Harcourt,Rivers State,Used
Apple iPhone 11 Pro 64 GB Gray,NA,300000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Purple,NA,220000,Akure,Ondo State,Used
Apple iPhone XR 128 GB Blue,NA,220000,Ikeja,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
Apple iPhone XR 128 GB White,NA,205000,Ikeja,Lagos State,Used
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
Apple iPhone 6s 128 GB Rose Gold,NA,60000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Purple,NA,260000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 64 GB Gold,NA,320000,Ikeja,Lagos State,Used
Apple iPhone 13 Pro Max 256 GB Gray,NA,690000,Ikeja,Lagos State,Used
New Apple iPhone 11 Pro Max 64 GB Black,NA,340000,Ikeja,Lagos State,Brand New
Apple iPhone XR 64 GB White,NA,180000,Port-Harcourt,Rivers State,Used
Apple iPhone X 64 GB Silver,NA,155000,Ibadan,Oyo State,Used
Apple iPhone XS Max 64 GB Gray,NA,195000,Ibadan,Oyo State,Used
Apple iPhone 12 64 GB Purple,NA,325000,Ikeja,Lagos State,Used
Apple iPhone 8 Plus 64 GB Gold,NA,120000,Port-Harcourt,Rivers State,Used
New Apple iPhone 13 Pro 128 GB Blue,NA,600000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro Max 64 GB Gray,NA,330000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Red,NA,220000,Ibadan,Oyo State,Used
Apple iPhone XS Max 64 GB Gold,NA,210000,Ikeja,Lagos State,Used
New Apple iPhone 11 64 GB Pink,NA,265000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro Max 64 GB Gray,NA,268000,Ibadan,Oyo State,Used
Apple iPhone 7 32 GB Rose Gold,NA,60000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Purple,NA,270000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Gold,NA,210000,Obio-Akpor,Rivers State,Used
Apple iPhone 11 Pro 64 GB Gray,NA,255000,Ibadan,Oyo State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
Apple iPhone XR 128 GB White,NA,205000,Ikeja,Lagos State,Used
Apple iPhone 13 128 GB White,NA,480000,Ikeja,Lagos State,Used
Apple iPhone 6s 128 GB Rose Gold,NA,60000,Akure,Ondo State,Used
Apple iPhone 11 128 GB Red,NA,260000,Ikeja,Lagos State,Used
Apple iPhone 13 128 GB Pink,NA,485000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 12 Pro Max 256 GB Gold,NA,450000,Ajah,Lagos State,Used
Apple iPhone 11 64 GB Black,NA,220000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,NA,220000,Port-Harcourt,Rivers State,Used
Apple iPhone 12 64 GB White,NA,315000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB Black,NA,200000,Ibadan,Oyo State,Used
Apple iPhone 7 32 GB Black,NA,70000,Akure,Ondo State,Used
Apple iPhone XS Max 64 GB Gold,NA,205000,Akure,Ondo State,Used
New Apple iPhone 12 64 GB Blue,NA,365000,Ikeja,Lagos State,Brand New
Apple iPhone XR 64 GB Red,NA,186000,Oluyole,Oyo State,Used
Google Pixel 6 Pro 128 GB White,NA,400000,Ikeja,Lagos State,Used
Apple iPhone 7 128 GB Pink,NA,85000,Ibadan,Oyo State,Used
New Apple iPhone X 64 GB White,NA,172000,Akure,Ondo State,Brand New
Apple iPhone 11 64 GB White,NA,220000,Akure,Ondo State,Used
New Apple iPhone 7 128 GB White,NA,80000,Port-Harcourt,Rivers State,Brand New
New Apple iPhone 13 128 GB Pink,NA,519000,Ibadan,Oyo State,Brand New
Apple iPhone 11 128 GB Green,NA,268000,Ikeja,Lagos State,Used
Samsung Galaxy S20 128 GB Gray,NA,220000,Ikeja,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
Apple iPhone 7 Plus 128 GB Red,NA,117000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Black,NA,220000,Ondo / Ondo State,Ondo State,Used
New Apple iPhone 13 Pro Max 128 GB Gold,NA,700000,Wuse 2,Abuja (FCT) State,Brand New
Apple iPhone 11 Pro Max 64 GB Gold,NA,329000,Ojota,Lagos State,Used
Apple iPhone XR 128 GB White,NA,145000,Alimosho,Lagos State,Used
Apple iPhone X 64 GB White,NA,140000,Oyigbo,Rivers State,Used
Apple iPhone XS Max 64 GB Black,NA,220000,Ondo / Ondo State,Ondo State,Used
New Apple iPhone 13 Pro Max 128 GB White,NA,710000,Ikeja,Lagos State,Brand New
New Apple iPhone 13 256 GB Green,NA,500000,Ikeja,Lagos State,Brand New
New Apple iPhone 11 64 GB White,NA,280000,Ogba,Lagos State,Brand New
Apple iPhone 12 64 GB Purple,NA,385000,Ikeja,Lagos State,Used
Apple iPhone X 256 GB Black,NA,185000,Port-Harcourt,Rivers State,Used
New Apple iPhone XS Max 64 GB Gold,NA,259000,Ikeja,Lagos State,Brand New
Apple iPhone 11 128 GB Red,NA,250000,Ajah,Lagos State,Used
Apple iPhone XR 64 GB Red,NA,155000,Akure,Ondo State,Used
Apple iPhone 11 64 GB Black,NA,230000,Port-Harcourt,Rivers State,Used
New Apple iPhone 7 32 GB Silver,NA,75000,Port-Harcourt,Rivers State,Brand New
Apple iPhone XR 64 GB Black,NA,160000,Port-Harcourt,Rivers State,Used
Apple iPhone 13 128 GB Red,NA,470000,Ikeja,Lagos State,Used
Apple iPhone 7 32 GB Rose Gold,NA,70000,Port-Harcourt,Rivers State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
Samsung Galaxy S20 128 GB Gray,NA,220000,Ikeja,Lagos State,Used
New Apple iPhone X 256 GB White,NA,190000,Ikeja,Lagos State,Brand New
Apple iPhone 13 128 GB,NA,465000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Red,NA,225000,Ilorin West,Kwara State,Used
New Apple iPhone 14 Pro 128 GB Purple,NA,800000,Ikeja,Lagos State,Brand New
Apple iPhone 11 Pro Max 64 GB Gold,NA,320000,Ikeja,Lagos State,Used
New Apple iPhone 11 64 GB Black,NA,280000,Ibadan,Oyo State,Brand New
Apple iPhone 8 Plus 64 GB Gold,NA,140000,Port-Harcourt,Rivers State,Used
Apple iPhone 11 64 GB Green,NA,215000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Black,NA,170000,Oyigbo,Rivers State,Used
Apple iPhone 12 64 GB Blue,NA,300000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 64 GB Gray,NA,260000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB Blue,NA,170000,Port-Harcourt,Rivers State,Used
Apple iPhone 7 32 GB Pink,NA,75000,Ibadan,Oyo State,Used
Apple iPhone XR 128 GB Black,NA,185000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 64 GB Gray,NA,335000,Akure,Ondo State,Used
Apple iPhone 11 Pro Max 256 GB Gray,NA,300000,Ibadan,Oyo State,Used
New Apple iPhone 7 128 GB Black,NA,85000,Ibadan,Oyo State,Brand New
Apple iPhone 12 128 GB Silver,NA,430000,Ikeja,Lagos State,Used
New Apple iPhone 11 64 GB Black,NA,295000,Ikeja,Lagos State,Brand New
Apple iPhone 8 Plus 64 GB Gold,NA,120000,Akure,Ondo State,Used
New Google Pixel 7 Pro 256 GB White,6.1 > inches,620000,Ikeja,Lagos State,Brand New
Apple iPhone XR 128 GB White,6.1 > inches,205000,Ikeja,Lagos State,Used
Samsung Galaxy S20 128 GB Gray,6.1 > inches,220000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Yellow,6.1 > inches,225000,Abule Egba,Lagos State,Used
Apple iPhone 6s 128 GB Rose Gold,6.1 > inches,60000,Akure,Ondo State,Used
Huawei Y5 Prime 2018 16 GB Gold,6.1 > inches,35000,Ikeja,Lagos State,Used
Apple iPhone 13 Pro Max 1 TB Gold,6.1 > inches,745000,Ikeja,Lagos State,Used
Apple iPhone 7 Plus 32 GB Red,6.1 > inches,100000,Ibadan,Oyo State,Used
Apple iPhone XS Max 512 GB White,6.1 > inches,300000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB White,6.1 > inches,250000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Gold,6.1 > inches,225000,Ibadan,Oyo State,Used
Apple iPhone 11 Pro Max 64 GB Gray,6.1 > inches,330000,Port-Harcourt,Rivers State,Used
New Apple iPhone 11 64 GB Black,6.1 > inches,240000,Akure,Ondo State,Brand New
Apple iPhone 11 64 GB Black,6.1 > inches,245000,Port-Harcourt,Rivers State,Used
Apple iPhone XS 64 GB Gold,6.1 > inches,160000,Port-Harcourt,Rivers State,Used
Apple iPhone XR 64 GB Blue,6.1 > inches,170000,Ikeja,Lagos State,Used
New Apple iPhone 14 Pro Max 256 GB Silver,6.1 > inches,880000,Ikeja,Lagos State,Brand New
Apple iPhone 8 Plus 64 GB White,6.1 > inches,170000,Port-Harcourt,Rivers State,Used
Apple iPhone 11 64 GB White,6.1 > inches,280000,Wuse,Abuja (FCT) State,Used
Apple iPhone 11 64 GB Black,6.1 > inches,230000,Andoni,Rivers State,Used
Apple iPhone XS Max 64 GB Gold,6.1 > inches,230000,Ikeja,Lagos State,Used
Apple iPhone 11 128 GB White,6.1 > inches,260000,Port-Harcourt,Rivers State,Used
Apple iPhone XR 64 GB Rose Gold,6.1 > inches,185000,Ikeja,Lagos State,Used
Samsung Galaxy S20 128 GB Gray,NA,220000,Ikeja,Lagos State,Used
Samsung Galaxy Note 9 128 GB Blue,NA,135000,Alimosho,Lagos State,Used
Apple iPhone XR 128 GB White,NA,205000,Ikeja,Lagos State,Used
Apple iPhone 7 Plus 32 GB Rose Gold,NA,110000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Black,NA,250000,Ikeja,Lagos State,Used
Apple iPhone XR 64 GB White,NA,178000,Wuse 2,Abuja (FCT) State,Used
Apple iPhone 11 Pro 64 GB Black,NA,330000,Ikeja,Lagos State,Used
Apple iPhone X 64 GB Black,NA,160000,Ikeja,Lagos State,Used
New Apple iPhone 7 Plus 128 GB Red,NA,115000,Ikeja,Lagos State,Brand New
Apple iPhone 8 Plus 64 GB Black,NA,120000,Ikwerre,Rivers State,Used
Apple iPhone 7 128 GB Gold,NA,70000,Port-Harcourt,Rivers State,Used
Apple iPhone XS 64 GB Black,NA,160000,Port-Harcourt,Rivers State,Used
Apple iPhone 11 Pro 256 GB Gray,NA,365000,Port-Harcourt,Rivers State,Used
Apple iPhone 7 Plus 128 GB Black,NA,110000,Akure,Ondo State,Used
Apple iPhone 13 Pro Max 128 GB Silver,NA,660000,Osogbo,Osun State,Used
Apple iPhone XR 64 GB Red,NA,150000,Ibadan,Oyo State,Used
Apple iPhone 13 Pro Max 512 GB Gold,NA,720000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Black,NA,250000,Ikeja,Lagos State,Used
Apple iPhone XR 128 GB Black,NA,169900,Port-Harcourt,Rivers State,Used
Apple iPhone 8 Plus 64 GB Gold,NA,120000,Eleme,Rivers State,Used
Apple iPhone 12 128 GB Purple,NA,370000,Ikeja,Lagos State,Used
Apple iPhone XS Max 64 GB Gold,NA,195000,Obio-Akpor,Rivers State,Used
Apple iPhone 11 Pro Max 64 GB Gold,NA,340000,Ikeja,Lagos State,Used
New Google Pixel 7 Pro 256 GB White,NA,620000,Ikeja,Lagos State,Brand New
New Google Pixel 7 128 GB Black,NA,380000,Ikeja,Lagos State,Brand New
Samsung Galaxy S20 128 GB Gray,NA,220000,Ikeja,Lagos State,Used
Apple iPhone 11 64 GB Green,NA,185000,Akure,Ondo State,Used
Apple iPhone XR 64 GB Orange,NA,160000,Ikeja,Lagos State,Used
Apple iPhone 11 Pro Max 64 GB Gray,NA,310000,Ilorin West,Kwara State,Used
Apple iPhone 8 Plus 64 GB Red,NA,130000,Ilorin West,Kwara State,Used
Apple iPhone 13 Pro Max 256 GB Blue,NA,720000,Ajah,Lagos State,Used
